credit_amount,duration,installment_commitment,residence_since,age,existing_credits,num_dependents,class
907,8,3,2,26,1,1,good
484,6,3,3,28,1,1,good
9629,36,4,4,24,2,1,bad
3051,48,3,4,54,1,1,bad
3931,48,4,4,46,1,2,bad
7432,36,2,2,54,1,1,good
1338,6,1,4,62,1,1,good
1554,6,1,2,24,2,1,good
15857,36,2,3,43,1,1,good
1345,18,4,3,26,1,1,bad
1101,12,3,2,27,2,1,good
3016,12,3,1,24,1,1,good
2712,36,2,2,41,1,2,bad
731,8,4,4,47,2,1,good
3780,18,3,2,35,2,1,good
1602,21,4,3,30,2,1,good
3966,18,1,4,33,3,1,bad
4165,18,2,2,36,2,2,bad
8335,36,3,4,47,1,1,bad
6681,48,4,4,38,1,2,good
2375,24,4,2,44,2,2,good
1216,18,4,3,23,1,1,bad
11816,45,2,4,29,2,1,bad
5084,24,2,4,42,1,1,good
2327,15,2,3,25,1,1,bad
1082,12,4,4,48,2,1,bad
886,12,4,2,21,1,1,good
601,4,1,3,23,1,2,good
2957,24,4,4,63,2,1,good
2611,24,4,3,46,2,1,good
5179,36,4,2,29,1,1,bad
2993,21,3,2,28,2,1,good
1943,18,4,4,23,1,1,bad
1559,24,4,4,50,1,1,good
3422,18,4,4,47,3,2,good
3976,21,2,3,35,1,1,good
6761,18,2,4,68,2,1,bad
1249,24,4,2,28,1,1,good
1364,9,3,4,59,1,1,good
709,12,4,4,57,1,1,bad
2235,20,4,2,33,2,1,bad
4042,24,3,4,43,2,1,good
1471,15,4,4,35,2,1,good
1442,18,4,4,32,2,2,bad
10875,36,2,2,45,2,2,good
1474,24,4,3,33,1,1,good
894,10,4,3,40,1,1,good
3343,15,4,2,28,1,1,good
3959,15,3,2,29,1,1,bad
3577,9,1,2,26,1,2,good
5804,24,4,2,27,2,1,good
2169,18,4,2,28,1,1,bad
2439,24,4,4,35,1,1,bad
4526,27,4,2,32,2,2,good
2210,10,2,2,25,1,1,bad
2221,15,2,4,20,1,1,good
2389,18,4,1,27,1,1,good
3331,12,2,4,42,1,1,good
7409,36,3,2,37,2,1,good
652,12,4,4,24,1,1,good
7678,36,2,4,40,2,1,good
1343,6,1,4,46,2,2,good
1382,24,4,1,26,2,1,good
874,15,4,1,24,1,1,good
3590,12,2,2,29,1,2,good
1322,11,4,4,40,2,1,good
1940,18,3,4,36,1,1,good
3595,36,4,2,28,1,1,good
1422,9,3,2,27,1,1,bad
6742,30,2,3,36,2,1,good
7814,24,3,3,38,1,1,good
9277,24,2,4,48,1,1,good
2181,30,4,4,36,2,1,good
1098,18,4,4,65,2,1,good
4057,24,3,3,43,1,1,bad
795,12,4,4,53,1,1,bad
2825,24,4,3,34,2,2,good
15672,48,2,2,23,1,1,bad
6614,36,4,4,34,2,1,good
7824,28,3,4,40,2,2,good
2442,27,4,4,43,4,2,good
1829,15,4,4,46,2,1,good
2171,12,4,4,38,2,1,good
5800,36,3,4,34,2,1,good
1169,18,4,3,29,2,1,good
8947,36,3,2,31,1,2,good
2606,21,4,4,28,1,1,good
1592,12,3,2,35,1,1,good
2186,15,1,4,33,1,1,good
4153,18,2,3,42,1,1,bad
2625,16,2,4,43,1,1,bad
3485,20,2,4,44,2,1,good
10477,36,2,4,42,2,1,good
1386,15,4,2,40,1,1,good
1278,24,4,1,36,1,1,good
1107,12,2,2,20,1,2,good
3763,21,2,2,24,1,1,good
3711,36,2,2,27,1,1,good
3594,15,1,2,46,2,1,good
3195,9,1,2,33,1,1,good
4454,36,4,4,34,2,1,good
4736,24,2,4,25,1,1,bad
2991,30,2,4,25,1,1,good
2142,11,1,2,28,1,1,good
3161,24,4,2,31,1,1,bad
18424,48,1,2,32,1,1,bad
2848,10,1,2,32,1,2,good
14896,6,1,4,68,1,1,bad
2359,24,1,1,33,1,1,bad
3345,24,4,2,39,1,1,bad
1817,18,4,2,28,2,1,good
12749,48,4,1,37,1,1,good
1366,9,3,4,22,1,1,bad
2002,12,3,4,30,1,2,good
6872,24,2,1,55,1,1,bad
697,12,4,2,46,2,1,bad
1049,18,4,4,21,1,1,good
10297,48,4,4,39,3,2,bad
1867,30,4,4,58,1,1,good
1344,12,4,2,43,2,2,good
1747,24,4,1,24,1,1,good
1670,9,4,2,22,1,1,bad
1224,9,3,1,30,2,1,good
522,12,4,4,42,2,2,good
1498,12,4,1,23,1,1,good
1919,30,4,3,30,2,1,bad
745,9,3,2,28,1,1,bad
2063,6,4,3,30,1,1,good
6288,60,4,4,42,1,1,bad
6842,24,2,4,46,2,2,good
3527,12,2,3,45,1,2,good
1546,10,3,2,31,1,2,good
929,24,4,2,31,1,1,good
1455,4,2,1,42,3,2,good
1845,15,4,1,46,1,1,good
8358,48,1,1,30,2,1,good
3349,24,4,4,30,1,2,bad
2859,12,4,4,38,1,1,good
1533,18,4,1,43,1,2,bad
3621,24,2,4,31,2,1,bad
3590,18,3,3,40,3,2,good
2145,36,2,1,24,2,1,bad
4113,24,3,4,28,1,1,bad
10974,36,4,2,26,2,1,bad
1893,12,4,4,29,1,1,good
1231,24,4,4,57,2,1,good
3656,30,4,4,49,2,1,good
1154,9,2,4,37,3,1,good
4006,28,3,2,45,1,1,bad
3069,24,4,4,30,1,1,good
1740,6,2,2,30,2,1,good
2353,21,1,4,47,2,1,good
3556,15,3,2,29,1,1,good
2397,24,3,2,35,2,1,bad
454,6,3,1,22,1,1,good
1715,30,4,1,26,1,1,good
2520,27,4,2,23,2,1,bad
3568,15,4,2,54,1,1,good
7166,42,2,4,29,1,1,good
3939,11,1,2,40,2,2,good
1514,15,4,2,22,1,1,good
7393,24,1,4,43,1,2,good
1193,24,1,4,29,2,1,bad
7297,60,4,4,36,1,1,bad
2831,30,4,2,33,1,1,good
1258,24,3,3,57,1,1,good
753,6,2,3,64,1,1,good
2427,18,4,2,42,2,1,good
2538,24,4,4,47,2,2,bad
1264,15,2,2,25,1,1,bad
8386,30,2,2,49,1,1,bad
4844,48,3,2,33,1,1,bad
2923,21,1,1,28,1,1,good
8229,36,2,2,26,1,2,bad
2028,24,2,2,30,2,1,good
1433,15,4,3,25,2,1,good
6289,42,2,1,33,2,1,good
1409,13,2,4,64,1,1,good
6579,24,4,2,29,1,1,good
1743,24,4,2,48,2,1,good
3565,12,2,1,37,2,2,good
1569,15,4,4,34,1,2,good
1936,18,2,4,23,2,1,good
3959,36,4,3,30,1,1,good
2390,12,4,3,50,1,1,good
1736,12,3,4,31,1,1,good
3857,30,4,4,40,1,1,good
804,12,4,4,38,1,1,good
1845,45,4,4,23,1,1,bad
4576,45,3,4,27,1,1,good
